nazwa,dzielnica,pokoj,metry,cena_metr,cena
Grzegórzecka z widokiem na Wisłę + garaż i komórka," Kraków, Grzegórzki",3 pokoje,71 m²,11 549 zł/m²,820000zł
Spokojna Okolica - Ostatnie Mieszkania," Kraków, Prądnik Biały",4 pokoje,"108,50 m²",7 834 zł/m²,850000zł
Spokojna Okolica - Ostatnie Mieszkania," Kraków, Prądnik Biały",4 pokoje,"108,50 m²",7 834 zł/m²,850000zł
Nowa Inwestycja Bronowice," Kraków, Bronowice Małe",6 pokoi,"149,11 m²",5 365 zł/m²,800000zł
Już w sprzedaży apartamenty przy Wiśle!," Kraków, Grzegórzki",3 pokoje,"65,43 m²",12 800 zł/m²,837504zł
Już w sprzedaży apartamenty przy Wiśle!," Kraków, Grzegórzki",4 pokoje,"91,84 m²",9 700 zł/m²,890848zł
Ustawne mieszkanie z widokiem," Kraków, Bronowice",4 pokoje,"91,61 m²",9 067 zł/m²,"830596,53zł"
"Apartament na Kazimierzu, Św. Wawrzyńca 53 m2"," Kraków, Kazimierz",2 pokoje,"52,59 m²",16 828 zł/m²,885000zł
"Inwestycyjnie, dwa mieszkania,centrum ul. Topolowa"," Kraków, Stare Miasto",3 pokoje,"93,70 m²",9 072 zł/m²,850000zł
Dwupoziomowe mieszkanie w spokojnej okolicy !," Kraków, Prądnik Biały",3 pokoje,88 m²,9 091 zł/m²,800000zł
"Mieszkanie, 136 m², Kraków"," Kraków, Ruczaj",4 pokoje,136 m²,6 213 zł/m²,845000zł
3 POK| Apartament | Kazimierza Wielkiego|Krowodrza," Kraków, Krowodrza",3 pokoje,82 m²,10 900 zł/m²,893800zł
"Mieszkanie, 70 m², Kraków"," Kraków, Kazimierz",2 pokoje,70 m²,12 714 zł/m²,890000zł
Apartament na Starym Mieście wśród kasztanowców!," Kraków, Stare Miasto",3 pokoje,"91,85 m²",9 254 zł/m²,850000zł
Apartament Bronowice - Wysoki standard - Widok," Kraków, Bronowice",4 pokoje,"108,50 m²",8 203 zł/m²,890000zł
apartament 3 pokoje stare podgórze przedsprzedaż," Kraków, Podgórze",3 pokoje,"71,18 m²",11 680 zł/m²,831378zł
Mieszkanie na Bozego Ciała przygotowane pod wynaje," Kraków, Kazimierz",2 pokoje,74 m²,12 027 zł/m²,890000zł
Apartament Topolowa bez prowizji," Kraków, małopolskie",3 pokoje,"78,50 m²",10 828 zł/m²,850000zł
ul.Palacha -Świetne 1pok Parze/Singlom. Krowodrza.," Kraków, Azory",1 pokój,"24,10 m²",8 714 zł/m²,210000zł
Super Apartament Do Inwestycji /Garaż - Pawia," Kraków, Stare Miasto",2 pokoje,"60,50 m²",12 545 zł/m²,759000zł
Białe Piaski Apartamenty 5.1 105m2," Kraków, Bronowice Wielkie",4 pokoje,"104,59 m²",6 999 zł/m²,732000zł
Stare Miesto/Pawia Idealne+Garaż Super Inwestycja," Kraków, Stare Miasto",2 pokoje,"58,50 m²",14 906 zł/m²,872000zł
"Zachwycający widok, mieszkanie po remoncie"," Kraków, Salwator",3 pokoje,"78,30 m²",10 345 zł/m²,810000zł
"Mieszkanie, 58,47 m², Kraków"," Kraków, Stare Miasto",2 pokoje,"58,47 m²",14 914 zł/m²,872000zł
Mieszkanie obok Placu Inwalidów po remoncie," Kraków, Łobzów",3 pokoje,"89,89 m²",9 345 zł/m²,840000zł
3 pokojowe mieszkanie przy ul. Królowej Jadwigi!," Kraków, Krowodrza",3 pokoje,84 m²,9 524 zł/m²,800000zł
"Mieszkanie, 106 m², Kraków"," Kraków, Prądnik Czerwony",4 pokoje,106 m²,8 104 zł/m²,859000zł
4 pokoje 2 balkony_gotowe przy Bulwarach Wiślanych," Kraków, Grzegórzki",4 pokoje,84 m²,10 000 zł/m²,840000zł
2 Apartamenty w centrum Kazimierza," Kraków, Kazimierz",2 pokoje,70 m²,12 714 zł/m²,890000zł
Mieszkanie na sprzedaż Kraków Bronowice," Kraków, Bronowice",4 pokoje,"91,66 m²",9 398 zł/m²,"861385,65zł"
"Zyblikiewicza, 114m2 , 4 pok, po remoncie"," Kraków, Stare Miasto",4 pokoje,114 m²,7 447 zł/m²,849000zł
