nazwa,dzielnica,pokoj,metry,cena_metr,cena
Biuro Sprzedaży-3pok. w pożądanej lokalizacji!," Kraków, Mistrzejowice",3 pokoje,54 m²,6 291 zł/m²,339700zł
Ostatnie piętro!Kawalerka z pięknym widokiemOkazja," Kraków, Mistrzejowice",1 pokój,"33,30 m²",6 692 zł/m²,222850zł
Gotowa Kawalerka-osiedle z pełną infrastrukturą!," Kraków, Mistrzejowice",1 pokój,31 m²,6 245 zł/m²,193600zł
Nowoczesne mieszkanie Apartament Krakow-Właściel," Kraków, małopolskie",2 pokoje,"54,66 m²",6 586 zł/m²,360000zł
"Blisko Tesco, Zakopianki, Campusu i Zakrzówka"," Kraków, Dębniki",2 pokoje,"45,57 m²",9 655 zł/m²,440000zł
Apartament inwestycyjny na Salwatorze - ROI 8%," Kraków, Salwator",2 pokoje,"52,48 m²",9 470 zł/m²,497000zł
"Cisza..Las...""SILVA PARK""-mieszkania Prądnik Biały"," Kraków, Prądnik Biały",4 pokoje,"69,24 m²",6 760 zł/m²,468062zł
Piękne 3 pokoje po remoncie z parkingiem," Kraków, Prądnik Czerwony",2 pokoje,72 m²,6 458 zł/m²,465000zł
"Mieszkanie dwupoziomowe, 122m2, Kraków - Ruczaj"," Kraków, Dębniki",4 pokoje,"122,84 m²",5 983 zł/m²,735000zł
"Kawalerka 30,6 m2, Krowodrza, ul. Szlachtowskiego"," Kraków, Krowodrza",1 pokój,"30,60 m²",9 118 zł/m²,279000zł
Stare Miasto 3pok-40m2 po remoncie od właściciela," Kraków, Stare Miasto",3 pokoje,"39,97 m²",13 885 zł/m²,555000zł
"Centrum A, Nowa Huta - przestronne"," Kraków, Azory",1 pokój,"47,50 m²",6 000 zł/m²,285000zł
Os. Na Skarpie - Piękne 3 pokojowe," Kraków, Górka Narodowa",3 pokoje,67 m²,5 955 zł/m²,399000zł
Bezpośrednio kawalerka po remoncie - inwestycyjne," Kraków, małopolskie",1 pokój,18 m²,11 039 zł/m²,198700zł
Super Nowoczesny Dom Z Klimatem Pychowice Dębniki," Kraków, Dębniki",5 pokoi,280 m²,6 032 zł/m²,1689000zł
"Mieszkanie 2 pok, 38m, Prądnik Biały."," Kraków, Krowodrza",1 pokój,"38,20 m²",7 827 zł/m²,299000zł
ul.Palacha -Świetne 1pok Parze/Singlom. Krowodrza.," Kraków, Azory",1 pokój,"24,10 m²",8 714 zł/m²,210000zł
Atrakcyjne 100 metrowe poddasze," Kraków, Krowodrza",3 pokoje,107 m²,4 056 zł/m²,434000zł
"Mieszkanie 2 pok, Łagiewniki Borek Fałęcki"," Kraków, Podgórze",2 pokoje,31 m²,8 645 zł/m²,268000zł
"Kraków, Kraków-Krowodrza, Wola-Justowska, ul.Nad Z"," Kraków, Wola Justowska",2 pokoje,"42,58 m²",7 750 zł/m²,330000zł
Mieszkanie po generalnym remoncie. Wola Duchacka," Kraków, Wola Duchacka",3 pokoje,"48,04 m²",7 265 zł/m²,349000zł
"Mieszkanie, 42,73 m², Kraków"," Kraków, Stare Miasto",2 pokoje,"42,73 m²",9 127 zł/m²,390000zł
Wadowicka piekna kawalerke sprzeda wlasciciel !!!," Kraków, Stare Podgórze",1 pokój,"27,16 m²",8 929 zł/m²,242500zł
Do sprzedania one bedroom -inwestycja z 2009," Kraków, Bronowice Wielkie",2 pokoje,"42,90 m²",9 907 zł/m²,425000zł
Kawalerka 29m2 Polonijna (Prokocim) wraz z garażem," Kraków, Bieżanów-Prokocim",1 pokój,"28,86 m²",9 182 zł/m²,265000zł
"Przestronne, 3-pokojowe mieszkanie z klimatyzacją"," Kraków, Górka Narodowa",3 pokoje,"74,15 m²",6 190 zł/m²,459000zł
2 pok./ balkon/ 39 M 2 /Dębniki Stare/ul. Zagrody.," Kraków, Stare Dębniki",2 pokoje,43 m²,8 372 zł/m²,360000zł
